iter	Passed	Remaining
1338	255419	11635
1339	255613	11445
1340	255772	11253
1341	255966	11062
1342	256150	10871
1343	256325	10680
1344	256510	10489
1345	256703	10298
1346	256885	10107
1347	257086	9917
1348	257300	9727
1349	257543	9538
1350	257744	9348
1351	257952	9158
1352	258184	8968
1353	258400	8778
1354	258592	8587
1355	258841	8398
1356	259057	8208
1357	259297	8019
1358	259525	7829
1359	259738	7639
1360	259931	7448
1361	260113	7257
1362	260320	7066
1363	260538	6876
1364	260751	6685
1365	260959	6495
1366	261147	6304
1367	261336	6113
1368	261550	5922
1369	261739	5731
1370	261914	5540
1371	262128	5349
1372	262317	5158
1373	262513	4967
1374	262695	4776
1375	262866	4584
1376	263053	4393
1377	263244	4202
1378	263448	4011
1379	263640	3820
1380	263835	3629
1381	264040	3439
1382	264213	3247
1383	264393	3056
1384	264575	2865
1385	264781	2674
1386	265054	2484
1387	265276	2293
1388	265504	2102
1389	265713	1911
1390	265926	1720
1391	266164	1529
1392	266375	1338
1393	266625	1147
1394	266835	956
1395	267048	765
1396	267250	573
1397	267464	382
1398	267659	191
1399	267841	0
